"","Pvalue","Qvalue","Qvalue.perm","R2","coef_","High Mean","HV Mean","High nzMean","HV nzMean","log2(AbundRatio)","High preval","HV preval","PrevRatio"
"p__Bacteroidetes;s__Alistipes_onderdonkii",0.014,0.114153846153846,0.0861861861861862,0.205158178784475,0.06816771333799,0.00237856329927,0.0133640434976556,0.01427137979562,0.0200460652464834,2.49019425902001,0.166666666666667,0.666666666666667,4
"p__Bacteroidetes;s__Alistipes_putredinis",0.001,0.0265,0,0.614326183005025,0.194973673487464,0,0.0502805751520992,NA,0.0555732672733728,Inf,0,0.904761904761905,Inf
"p__Bacteroidetes;s__Alistipes_shahii",0.06,0.205575757575758,0.191257924591258,0.116133328816732,0.0472770709646688,0.00570423620080598,0.0113579581274137,0.0136901668819344,0.0159011413783791,0.993597871007453,0.416666666666667,0.714285714285714,1.71428571428571
"p__Bacteroidetes;s__Alistipes_unclassified",0.153,0.3286,0.285485485485485,0.0783060922179356,-0.0200583512099677,0.00245615878414458,0.00210157142857143,0.00982463513657834,0.044133,-0.224935338236579,0.25,0.0476190476190476,0.19047619047619
"p__Firmicutes;s__Streptococcus_parasanguinis",0.605,0.740781609195402,0.752194054519636,0.00903449226001251,-0.00306753673317847,0.000418766830720926,0.000259761378978961,0.00167506732288371,0.00136374723963954,-0.688960226695492,0.25,0.19047619047619,0.761904761904762
"p__Firmicutes;s__Streptococcus_salivarius",0.239,0.436793103448276,0.441831662170645,0.0467979764021599,-0.0169907859366274,0.00393873416034048,0.00122570641632849,0.00787746832068095,0.00233998497662711,-1.68411858425957,0.5,0.523809523809524,1.04761904761905
"p__Firmicutes;s__Streptococcus_thermophilus",0.347,0.540911764705882,0.537015276145711,0.03115569963748,0.00723201078308642,0.000307409253729923,0.000777462192158224,0.000922227761189769,0.00148424600321116,1.33861192481595,0.333333333333333,0.523809523809524,1.57142857142857
"p__Firmicutes;s__Clostridium_asparagiforme",0.561,0.729073170731707,0.725650650650651,0.0124898524866973,-0.00265867956047442,0.000538676284016243,0.000131934157048563,0.00129282308163898,0.000461769549669972,-2.02960043090218,0.416666666666667,0.285714285714286,0.685714285714286
"p__Firmicutes;s__Clostridium_bolteae",0.075,0.227142857142857,0.237913589264941,0.0967945271539669,-0.0196535133141725,0.0043252992499399,0.000812778542734561,0.00576706566658654,0.00243833562820368,-2.41186572969738,0.75,0.333333333333333,0.444444444444444
"p__Firmicutes;s__Clostridium_clostridioforme",0.001,0.0265,0.0222222222222222,0.302495291346029,-0.0390611285762852,0.00368549677357283,0,0.006317994468982,NA,-Inf,0.583333333333333,0,0
"p__Firmicutes;s__Clostridium_hathewayi",0.155,0.3286,0.344678011344678,0.0656300776935379,-0.00531388163063205,0.000241297244000737,0.000123574337834425,0.000482594488001474,0.00129753054726146,-0.96543226186535,0.5,0.0952380952380952,0.19047619047619
"p__Firmicutes;s__Clostridium_leptum",0.138,0.318,0.326222055388722,0.0693289001527142,0.0127582205321227,0.000607670649196584,0.000937341285727697,0.00243068259678634,0.00164034725002347,0.625284817782486,0.25,0.571428571428571,2.28571428571429
"p__Firmicutes;s__Clostridium_nexile",0.303,0.509809523809524,0.530705308483086,0.0346166881743187,-0.0106467017474723,0.00167735536760254,0.000729785174883362,0.00402565288224609,0.00383137216813765,-1.20064462440717,0.416666666666667,0.19047619047619,0.457142857142857
"p__Firmicutes;s__Clostridium_symbiosum",0.003,0.053,0.0352018685352019,0.265272672519892,-0.0237136676215662,0.00356682043685048,6.62029905986979e-05,0.00535023065527572,0.000347565700643164,-5.75159838872619,0.666666666666667,0.19047619047619,0.285714285714286
"p__Firmicutes;s__Flavonifractor_plautii",0.001,0.0265,0.0005005005005005,0.479139123672261,-0.0169736213416315,0.000799492004586746,3.18481338158708e-05,0.000959390405504095,0.000167202702533322,-4.64980286251793,0.833333333333333,0.19047619047619,0.228571428571429
"p__Firmicutes;s__Eubacterium_eligens",0.512,0.686987341772152,0.69760900140647,0.0143301117908792,0.0182876421768088,0.020587349731637,0.010452149300873,0.061762049194911,0.0146330090212222,-0.977958481966873,0.333333333333333,0.714285714285714,2.14285714285714
"p__Firmicutes;s__Eubacterium_hallii",0.909,0.94464705882353,0.940221775173231,0.000440748168182712,0.00192323406130074,0.00552735849382265,0.0060095780088225,0.00736981132509687,0.00742359636383956,0.12067350277372,0.75,0.80952380952381,1.07936507936508
